ZX80 Foils 1.8 hole locations
X,Y,DIAMETER coordinates from bottom left index.
131.1,52.7,1.0
140.2,52.7,1.0
25.9,38.6,1.0
35.0,38.5,1.0
11.9,38.6,1.0
21.0,38.5,1.0
39.9,38.6,1.0
49.0,38.5,1.0
54.0,38.6,1.0
63.1,38.5,1.0
68.0,38.6,1.0
77.1,38.5,1.0
82.0,38.6,1.0
91.1,38.5,1.0
96.0,38.6,1.0
105.1,38.5,1.0
110.0,38.6,1.0
119.2,38.5,1.0
124.1,38.6,1.0
133.2,38.5,1.0
138.1,38.6,1.0
147.2,38.5,1.0
29.3,24.4,1.0
38.4,24.4,1.0
15.3,24.4,1.0
24.4,24.4,1.0
43.3,24.4,1.0
52.5,24.4,1.0
57.4,24.4,1.0
66.5,24.4,1.0
71.4,24.4,1.0
80.5,24.4,1.0
85.4,24.4,1.0
94.5,24.4,1.0
99.4,24.4,1.0
108.5,24.4,1.0
113.5,24.4,1.0
122.6,24.4,1.0
127.5,24.4,1.0
136.6,24.4,1.0
141.5,24.4,1.0
150.6,24.4,1.0
22.3,10.3,1.0
31.4,10.3,1.0
8.3,10.3,1.0
17.4,10.3,1.0
36.3,10.3,1.0
45.5,10.3,1.0
50.4,10.3,1.0
59.5,10.3,1.0
64.4,10.3,1.0
73.5,10.3,1.0
78.4,10.3,1.0
87.5,10.3,1.0
92.4,10.3,1.0
101.5,10.3,1.0
106.5,10.3,1.0
115.6,10.3,1.0
120.5,10.3,1.0
129.6,10.3,1.0
134.5,10.3,1.0
143.6,10.3,1.0
17.4,171.2,1.0
112.4,179.5,1.0

1mm hole count = 698
2.6mm hole count = 18
2mm hole count = 2
4mm hole count = 1
3.4mm hole count = 3
2.2mm hole count = 2
3.5mm hole count = 2
